"","FIPS","State","County","Deaths","Years of Potential Life Lost Rate","% Fair or Poor Health","Average Number of Physically Unhealthy Days","Average Number of Mentally Unhealthy Days","% Low Birthweight","% Smokers","% Adults with Obesity","Food Environment Index","% Physically Inactive","% With Access to Exercise Opportunities","% Excessive Drinking","# Alcohol-Impaired Driving Deaths","# Driving Deaths","% Driving Deaths with Alcohol Involvement","# Chlamydia Cases","Chlamydia Rate","Teen Birth Rate","# Uninsured","% Uninsured","# Primary Care Physicians","Primary Care Physicians Rate","Primary Care Physicians Ratio","# Dentists","Dentist Rate","Dentist Ratio","# Mental Health Providers","Mental Health Provider Rate","Mental Health Provider Ratio","Preventable Hospitalization Rate","% With Annual Mammogram","% Vaccinated","Cohort Size","High School Graduation Rate","# Some College","Population","% Some College","# Unemployed","Labor Force","% Unemployed","% Children in Poverty","80th Percentile Income","20th Percentile Income","Income Ratio","# Single-Parent Households","# Households","% Single-Parent Households","# Associations","Social Association Rate","Annual Average Violent Crimes","Violent Crime Rate","# Injury Deaths","Injury Death Rate","Average Daily PM2.5","Presence of Water Violation","% Severe Housing Problems","Severe Housing Cost Burden","Overcrowding","Inadequate Facilities","% Drive Alone to Work","# Workers who Drive Alone","% Long Commute - Drives Alone"
"66","17129","Illinois","Menard",165,7038.7460252,13.071017378,3.4232929307,3.8680147271,7.8823529412,14.616425182,30.1,8.9,22.3,42.109405746,20.987927989,3,9,33.333333333,24,196,13.559322034,535,5.4073175662,5,40.83299,"2449:1",2,16.27604,"6144:1",5,40.6901,"2458:1",3877,41,39,NA,86.882966226,1754,2779,63.116228859,268,6689,4.0065779638,14.5,120477,31314,3.8473845564,893,2671,33.433171097,11,8.9832584728,9.5,83.766863592,50,80.563298584,11.1,"No",11.781609195,9.8344693281,1.8199233716,0.6704980843,82.120305749,6018,49.1
"67","17131","Illinois","Mercer",251,7129.2038665,13.724373552,3.4377685641,3.832550437,7.51953125,15.154565366,32.6,8.2,24.2,54.442010466,20.125443892,1,5,20,38,243.3,20.420986491,653,5.3441361814,3,19.20861,"5206:1",3,19.22954,"5200:1",2,12.81969,"7801:1",3304,47,44,NA,87.4,2201,3383,65.060597103,428,8103,5.2819943231,12.6,98096,26998,3.63345433,908,3371,26.93562741,28,17.928031758,15,95.712098009,62,78.728159285,10.8,"Yes",8.7585681645,6.8619892059,0.5788271135,1.2795125666,89.71975393,7315,47
"68","17133","Illinois","Monroe",279,4016.0307753,11.515169686,3.0908708208,3.5826112893,7.5268817204,12.96732071,36.3,9,20.7,78.013775526,21.909301462,6,16,37.5,74,217,7.8497336698,1038,3.6590524535,12,35.19371,"2841:1",28,81.54944,"1226:1",45,131.0616,"763:1",5452,48,52,NA,92.859009547,6332,7912,80.03033367,644,18595,3.4632965851,4.3,146948,34475,4.2624510515,1100,7657,14.365939663,48,14.077484823,10.5,31.124483111,94,55.261285942,11.3,"No",9.63161934,8.5098190219,0.7981580967,0.7290867229,85.60520362,17680,53.3
"69","17135","Illinois","Montgomery",426,8391.5997787,15.439206509,3.890972322,4.0171236771,8.4205518554,16.110020389,31,7.8,27.3,44.851182567,20.018902602,9,33,27.272727273,70,243.1,24.344917302,1257,5.9814418273,18,62.52171,"1599:1",18,62.93486,"1589:1",21,73.42401,"1362:1",5805,44,31,NA,86.096663954,3906,7105,54.975369458,706,11891,5.9372634766,20.1,93447,20766,4.5,2221,5680,39.102112676,43,14.935741577,37,132.05324958,127,87.828492393,11.4,"No",9.7474523704,7.9730941704,1.2405848471,1.2405848471,87.350921576,11068,30.4
"70","17137","Illinois","Morgan",519,7844.6188618,15.911182542,3.7993652637,4.1267116943,9.7314130012,16.13652531,32.1,7.3,25.9,62.688834501,19.547698678,5,19,26.315789474,132,390.6,24.750499002,1303,5.221817016,14,41.42257,"2414:1",17,50.03532,"1999:1",35,103.01389,"971:1",4656,44,42,NA,77.687164179,4976,8281,60.089361188,719,16309,4.4086087436,23.1,93505,20457,4.5708070587,2363,6413,36.847029471,49,14.497899284,56,169.02598775,141,82.068355373,10.9,"Yes",11.453425154,10.022042616,1.0873504893,1.1235955056,82.431118314,15425,27
"71","17139","Illinois","Moultrie",178,5782.6410478,14.60219678,3.6758655815,4.0344378774,7.0487993803,15.696260362,24.8,8.8,24.2,68.974808029,20.268079179,3,9,33.333333333,40,272.3,16.954574536,954,8.0309790386,4,27.23312,"3672:1",2,13.58973,"7359:1",18,122.30754,"818:1",6196,46,43,NA,96.064449064,2171,3393,63.98467433,289,7524,3.8410419989,13.4,104741,27202,3.8504889346,630,3684,17.100977199,20,13.616557734,NA,NA,58,78.378378378,11.5,"Yes",10.508182601,7.2493929934,2.5839793282,2.1533161068,78.075179172,6837,35.2
"72","17141","Illinois","Ogle",662,6952.7208178,15.001773139,3.5994723028,3.8723729364,6.3651137595,15.028075484,37.1,8.5,28.2,61.964222293,20.178141919,11,33,33.333333333,158,309.4,17.854120833,2762,6.6498134104,33,64.62605,"1547:1",20,39.27498,"2546:1",71,139.42619,"717:1",4772,40,49,NA,94.192792162,7442,11752,63.325391423,1275,25289,5.0417177429,11.2,111199,27554,4.035675401,3626,11575,31.326133909,74,14.49190216,29,71.13422292,160,62.256082614,11.5,"Yes",12.584215592,10.779315368,1.6843118383,0.6015399423,81.211997552,24505,37.2
"73","17143","Illinois","Peoria",2485,8427.180931,15.623082311,3.7293870035,3.9394728942,9.6760141574,16.59556525,35.9,7.4,22,82.098083584,19.003610648,33,84,39.285714286,1669,912,34.725336984,9418,6.3206356876,224,122.39701,"817:1",151,83.60047,"1196:1",429,237.51391,"421:1",3878,46,49,NA,82.227084947,34089,47877,71.201203083,4846,87398,5.5447493078,22.8,106649,21476,4.9659620041,18455,43451,42.473130653,254,13.878947167,978.5,523.7788085,709,76.883204761,11.9,"No",13.858497447,12.173737101,1.5914064054,0.7492871825,82.726549593,81715,14.8
"74","17145","Illinois","Perry",288,6607.7393181,15.280889094,3.754063319,3.8921454132,7.5085324232,16.145867168,32.1,7.5,26.4,79.382550336,20.707291553,6,18,33.333333333,48,225.5,32.495903878,854,5.6608776349,11,51.67959,"1935:1",6,28.33664,"3529:1",39,184.18816,"543:1",5047,41,29,NA,91.449701314,2638,5654,46.657233817,505,8456,5.9720908231,23.4,90091,17975,5.0120166898,1464,4059,36.067997044,54,25.369978858,27.5,131.49401105,79,73.810391382,11.4,"Yes",12.917181706,11.6,0.7292954265,1.174289246,83.416125334,7851,34.2
"75","17147","Illinois","Piatt",191,6214.2898267,11.976344245,3.2439752028,3.6501787602,6.2550120289,13.429547099,25.2,9.2,22.2,60.123139458,21.387737778,4,9,44.444444444,39,237.2,15.017430947,631,4.7361705322,8,48.64701,"2056:1",5,30.49524,"3279:1",10,60.99049,"1640:1",3542,50,49,NA,92.547619048,2756,3780,72.91005291,363,8430,4.3060498221,8.2,111542,33674,3.3124071984,809,3693,21.906309234,24,14.594101551,24.5,167.18414139,60,72.975832837,11.6,"No",7.6576576577,6.7669172932,0.3453453453,0.9009009009,85.305164319,8520,35.2
