YPLLRate,HealthPoorPct,LBWPct,ObeseAdultsPct,DrinkExcPct,HSGradRate,UnemployedPct,ViolsCrimeAnlAvg,WaterViol,DistressFreqPhysPct,HIVRate,FoodHealthLimAccPct,IncHousehldMedian,HomeownersPct
12986.86179,29.44186605,14.09043113,47.7,10.99889654,83.21678322,9.58302853,71.5,No,17.40870559,275,30.46474603,25385,64.95793901
10860.0704,21.43141982,10.39719626,37.8,13.56003941,92.85714286,4.191800429,23.5,Yes,14.75359464,53.7,2.655012846,41156,78.97479528
15888.92965,25.95120197,7.262493136,33.5,12.94499582,72.58842011,10.06532785,78.5,Yes,18.48383315,193.8,47.39151395,33652,78.39176269
7452.321919,18.06944859,7.834015631,29.8,14.74556738,87.700409,5.603327038,365.5,Yes,12.80515415,186.8,14.4701918,49164,69.16954315
8704.784636,15.88451414,7.985432581,23.8,17.40134319,81.59047315,5.491483206,497.5,Yes,12.9361916,113.7,13.83168032,60187,60.57407564
14227.28813,18.66972167,8.766313716,30.8,15.65961303,75.17176871,5.888093689,303,No,14.03124936,94.9,15.82668414,43585,73.85756403
8634.641165,18.91427963,7.924335378,34.8,17.13275089,85.5597723,5.135098804,36,No,13.59065329,72.7,19.00577286,50157,69.25431274
7214.854883,17.86541623,6.755373593,29.3,18.0303045,89.5625,4.252336449,4,No,11.46469725,78.2,30.54644934,65818,49.17829457
15452.45258,22.00599671,6.11961057,30.2,13.04600532,83.63486842,6.231819199,49.5,Yes,13.96879214,144.7,18.95471346,37350,74.28186715
6474.453729,15.62265423,7.165373327,26.9,18.21042405,77.64787775,4.14020738,17044,Yes,10.95555445,309.1,4.399472615,65234,61.35798581
10257.17354,18.91227263,7.187208941,31.8,16.14028829,78.2301855,5.774677559,444.5,Yes,13.21160874,130.3,20.01212971,45129,68.63777271
13754.90794,24.2846849,8.717853496,34,13.64950539,78.21630769,7.761466082,304,Yes,15.78199163,150.5,25.00540788,40650,69.05862179
7369.900232,17.16099051,7.260364388,25,16.97156459,73.41725508,4.488947294,4761,Yes,11.68049064,281.4,7.681117182,53395,62.39003061
6770.101886,20.09121745,6.991720331,32.6,16.12945483,80.75306659,5.023118014,884,Yes,13.00784881,253.8,7.203249921,58848,74.38121877
5084.196606,26.57921759,6.938499662,26.9,14.1389325,89.79792746,9.329883571,65.5,Yes,15.05600528,132,12.80790272,40545,66.18276086
7756.039643,15.40051142,7.168403048,23,16.69477185,82.08333333,4.467988411,526.5,Yes,12.26997385,126.4,12.60656643,48758,71.92704699
6104.069594,22.72637637,5.968331303,36.9,17.70614739,88.75193662,17.0418698,677.5,Yes,13.34006842,154.2,9.597011201,44116,67.0852711
11452.20121,23.12340567,9.898628503,30.6,13.73710983,82.27848101,3.395810364,87.5,No,14.18521514,230.1,17.82182264,43887,63.70736787
9976.043303,24.02256347,11.68009206,42.6,12.66634834,90.2173913,5.466614604,67,Yes,14.39071945,105.3,12.00484694,41127,73.67024637
8749.738716,18.94624372,6.696070569,33.7,12.97732178,85.87570622,4.118325943,74.5,No,12.54732457,91.7,4.419134021,39686,75.82471421
6154.441823,16.23336006,7.593509683,29.3,17.61549385,90.44628099,2.880866641,661.5,Yes,11.59951467,121.8,5.303287663,68978,66.37973986
8901.302771,21.217831,6.917437042,34.4,14.1998449,92.59259259,3.538092836,206,Yes,13.17309239,67.4,10.35640575,44482,71.54001345
11116.72792,28.44205722,9.766454352,46.4,12.55795627,90.16393443,4.493351674,29,No,15.64147736,110.2,5.17348068,37729,62.50826537
12077.89523,23.97552891,8.253968254,29.4,13.25279097,91.66666667,3.91014975,11,No,14.38454858,155.6,32.5506011,44969,83.57438017
10665.06988,22.02276918,6.457480673,27.7,13.4055378,82.27848101,3.212279453,93.5,No,13.73933648,260.2,3.813299254,45023,75.97885494
13048.03226,30.05242378,11.02941177,38.8,10.90987935,86.55462185,6.886227545,40.5,No,16.09478378,384.3,33.39104809,31787,64.27576602
9843.249169,23.74251321,9.107468124,26.9,14.85533236,84.29319372,3.82045929,74.5,Yes,14.41702202,154.5,21.4556673,45408,62.68077601
11223.09225,22.55383136,7.002561913,42.6,13.95560894,93.08176101,4.387317909,33,Yes,14.22871244,70.5,4.306306956,37687,69.46126378
10497.19919,20.06844482,7.720815318,36.6,14.05820247,92.04545455,4.534554175,93.5,No,12.74051576,101,3.260880311,44902,74.57832448
11272.98976,22.0305959,7.80141844,35.5,14.710687,95.65217391,3.906723198,8,No,13.36354036,128.8,5.516299787,47600,75.39489672
8842.107849,26.52042418,12.31992052,36.4,13.82732472,90.6504065,4.771438105,76,Yes,15.45512293,157,7.237985296,40909,68.74581567
10156.77735,22.15407412,8.908045977,36.8,14.48456905,85.52036199,4.366918761,44.5,Yes,13.61169416,160,6.300562421,44565,68.27138643
8225.801539,22.71733072,9.089158483,38.2,15.00349026,92.59259259,3.063562454,449.5,Yes,13.96898946,168.7,8.565899244,45615,57.46323529
9076.688298,20.1086983,7.765363129,35.2,14.47752553,90.33760186,3.581400544,234,Yes,13.55417373,105,7.836892252,47363,76.7140627
12729.52685,25.87044292,13.80583241,41.3,12.54750659,89.08122503,4.308939302,624,Yes,14.91183975,522.3,4.953202723,42606,57.96011943
12126.28377,23.66743852,10.7881137,38.9,13.20263071,92.09486166,4.166106706,115,No,14.32121378,169.9,6.416112615,41214,67.43352256
13312.826,31.97991039,13.53790614,37.9,11.03124494,86.9955157,4.537938637,62,Yes,17.23642034,175.3,20.00667873,36132,59.38172569
11207.96012,25.46629278,9.540636042,40.8,13.69853774,88.12785388,5.001933737,68,No,14.98958369,139.8,10.78822172,42494,68.25306355
7859.047036,20.65199747,7.320493643,35.2,17.89497931,93.31329827,3.279328518,440.5,No,12.57957841,143.9,5.564717066,53882,62.62614809
12539.55695,21.81170744,9.185185185,34,13.77531594,97.25274725,3.59168242,76,Yes,14.19175935,101.4,3.639464771,43696,72.47058824
11065.24788,22.38693055,6.056860321,27.7,12.4457748,97.52066116,3.995837669,22.5,No,14.4024117,97.1,12.1361199,35630,78.18
11022.94483,19.98658798,9.060052219,29.5,13.56056605,85.2402746,4.046866191,512,No,13.40314936,231.1,10.71483313,43610,67.56655136
8195.845806,20.22855459,9.179104478,35.7,15.67950157,89.47368421,3.112606658,46,No,12.82348682,138.2,4.425873104,52050,79.89675516
10790.04709,20.03421994,8.053186152,36.4,15.70129806,95.83333333,3.497848646,166.5,No,12.88496789,103.2,9.464870951,46512,67.74097992
