"","YPLLRate","HealthBadDaysMentAvg","HospPrevRate","Income20thpcntl","InjuryDeathRate","LBWPct","LifeExpect","MammAnnualPct","PhysInactPct","SmokersPct","UnemployedPct","UninsAdultPct","VaccinatedPct"
"3072",5099.032507,3.4498374379,5705,29660,75.771607537,6.6847826087,81.084405136,37,24.7,15.142635101,2.6053254863,6.3642857143,49
"3074",7626.9521165,3.8523034303,4119,22635,120.65190951,5.7772483621,78.363575472,45,23.8,17.888559424,3.1089053282,10.910411183,49
"3075",6055.483311,3.3549341303,3638,30038,77.67861359,5.9087136929,79.816613471,46,20.2,15.021069678,2.8670739869,6.7953119451,57
"3076",7176.6787535,3.6474079419,3086,22272,103.72030344,7.1649484536,78.326046764,39,25,16.868127477,3.0662637282,9.0735564797,29
"3077",6793.7208645,3.6275873993,5119,26378,90.682600217,7.8860816266,78.269627804,50,22.7,17.017955366,3.5278245454,7.7180038343,50
"3078",5828.0719187,3.4607793228,2313,27918,59.778720735,6.9090909091,81.330346973,49,23.6,14.439015218,2.8759894459,6.365159129,35
"3079",6073.8406896,3.6132535798,2962,26587,83.270006381,6.6705744431,79.944704518,62,22.6,14.832192712,2.6255928398,5.7619313425,59
"3080",6764.487596,3.7109210322,4077,26142,77.527701244,5.735003296,80.919716956,39,27,16.167905282,2.2943807116,10.677574995,48
"3081",5991.8007749,3.6748096624,3451,21259,84.127874369,6.9016152717,80.561903489,55,22.4,16.446218551,3.9592522579,7.7624720774,39
"3082",6472.8089147,3.2372865136,3994,25681,85.059541679,7.4291822555,78.927995391,56,24.7,15.638381888,3.1634446397,6.2680115274,53
"3083",6530.2635259,3.4930078127,3677,24840,79.195275436,7.2133500807,79.256047246,52,22.6,14.92612891,3.1091584995,7.3857700262,50
"3084",5431.1046348,3.3025217856,4155,27446,61.909373521,6.6479739508,80.426865806,58,24.6,15.15327876,2.6662886612,7.2200296004,53
"3085",6755.1918704,3.8266633642,3163,19725,74.723351539,6.8682344158,78.65740192,52,25.1,16.357618312,4.0119699736,6.9799886646,36
"3086",8599.9525234,3.5968558199,4086,23379,143.54571075,7.2564612326,77.388034473,39,25.5,15.485292068,3.5409666581,9.0285049447,50
"3087",17045.961074,5.5934396545,4073,16500,135.36526789,6.990881459,70.591813175,33,22.5,33.579999574,5.6825200741,13.266162888,45
"3088",8928.676331,4.4954497835,5481,19422,102.96115614,9.9878032254,76.858929455,47,22.5,17.817309912,3.6295671048,9.9172170288,50
"3089",6928.6589784,3.6084264548,2825,26827,62.218755888,6.4615384615,78.499105078,56,23.2,16.265412062,2.7214334009,8.6392259254,42
"3091",6741.5206832,3.6061574837,3487,25230,82.837902567,6.3849765258,78.989306772,54,23.8,14.620805614,3.5923874294,6.8587723248,52
"3092",5303.1275221,3.4902102141,2263,29768,58.058862588,6.9349962207,80.124011908,55,17.4,14.647257951,2.7965414753,6.1789074568,53
"3093",4214.2346394,3.2492370622,3292,35786,54.622515355,5.9857316861,82.252963161,55,15.5,12.510559054,2.5249954184,4.3888608382,59
"3095",4749.922751,3.4033663304,4349,33147,55.410738119,5.9391239792,80.860813547,47,16.1,15.02384777,3.1884630581,5.6088093163,55
"3096",6514.5809504,3.6001450858,4434,25467,84.173922643,6.1965080452,79.163815604,48,18.5,15.568792124,3.7098537929,7.3434550031,45
"3097",4275.3659555,3.4604212085,3133,25416,51.310690483,6.8610994545,81.844792374,52,16.9,15.61276422,3.0039203707,6.2229131336,55
"3098",6522.4377433,3.7814207893,5285,22334,87.180093386,6.4556962025,79.014797233,55,23.6,15.430803143,3.7014835906,6.9580142593,45
"3099",7096.5611159,3.6207120255,4647,25856,67.379795059,8.2534869618,78.32937802,52,21.9,15.414274165,3.6155468515,7.2542975799,53
"3100",6868.4314702,3.6726763952,3473,24021,77.691200329,5.3702196908,79.705919868,33,21,15.721994422,2.6679524269,8.4951708381,49
"3101",7374.6703988,3.9192357814,5643,24976,95.097654176,7.5051759834,78.148522023,42,22.4,17.345920316,3.2389896601,8.5412866855,52
"3102",6264.0742914,3.8489088589,1196,20615,90.290906013,4.5271629779,79.57002275,50,29.9,16.574520258,3.989133543,9.3459135535,43
"3103",6110.9965277,3.7691563707,4894,26271,80.513784461,6.2818336163,79.148256127,39,16,17.562534106,2.5644618834,8.3607252677,51
"3104",9721.2306518,4.2439232689,2385,19819,118.16443129,5.6387665198,76.7687646,56,29.5,19.894844601,4.3103448276,11.67008898,46
"3105",6998.9040744,3.7526755405,3079,23898,82.168070169,6.2602965404,78.320045261,50,28.7,17.132717201,3.0140284272,8.6805704252,51
"3106",5895.1041815,3.5210495203,2874,27100,73.12601588,6.4789377289,79.628431016,51,22.7,15.390951571,2.4974961449,6.9684812057,55
"3107",4658.5956675,3.124334744,4241,39166,47.424767074,5.4038997214,80.823669726,48,20.5,14.272623564,3.0330097858,5.0304542452,52
"3108",5613.7213811,3.6427021686,2169,23815,61.663746611,4.3225806452,81.301458843,59,29.4,17.057977458,3.1196465603,9.1978887254,22
"3109",6811.2397193,3.5825582325,2998,25813,78.58759129,6.9592046623,78.76351801,54,23.7,15.443949235,2.8555772041,8.7562544675,46
"3110",5710.877233,3.7810358191,3194,21190,58.084137157,5.2596089009,80.427707886,44,18.3,17.199406674,2.8793624269,10.652511034,35
"3111",8647.4090232,3.8553812961,3291,21211,123.3297169,7.1428571429,78.263194003,55,25,17.212498589,3.9481437831,10.681596019,52
"3112",6098.7289453,3.5658263203,3337,27230,75.180685539,6.4870259481,79.586618579,48,21.6,15.453405129,2.9189096813,9.7293189315,54
"3113",6532.581893,3.6874342606,4142,22032,80.224118171,5.971659919,79.254725754,56,30.4,16.332521395,3.8771399799,7.4852720342,52
"3114",4820.3020369,3.3702817287,3712,36084,80.206543009,5.8343182551,81.181283404,59,20.6,13.519685851,2.5461948818,4.6915990483,57
"3115",4812.2936893,3.3402501406,3514,37977,79.900768562,6.25,81.515588378,58,17.4,12.194141698,2.654902587,4.4111615189,58
"3116",6797.5659518,3.6171160885,2264,26019,89.570642543,6.432748538,77.516923979,52,22.4,15.294101259,2.9571217348,7.4327025586,50
"3117",6291.7671823,3.5790409717,2865,23152,62.807322011,7.0733290071,79.65758963,49,25.6,16.186324387,3.47751606,9.2801857585,49
"3118",5939.3676043,3.837059827,3037,25986,75.848711807,7.0313101008,79.690118587,56,21.8,15.258878361,2.7152631352,6.052600681,55
"3119",7032.1222163,3.3720102938,3769,25167,77.798493712,7.1278458844,78.844740962,57,20,15.938731469,3.4566301378,6.3870330291,41
"3120",5615.8957414,3.8261641484,3259,17297,66.507467689,8.5285505124,80.804432398,39,16.9,15.64749358,3.2895060816,13.94353159,46
"3121",8540.2722301,3.636309408,5038,21254,108.79753615,6.7864271457,77.04390375,33,28.1,15.608200288,4.6794749857,22.489458067,30
"3122",6051.9055109,3.3308676603,2915,31118,73.306105351,9.1724825523,79.348984515,28,26.2,18.489142936,4.1102493318,15.293062407,46
"3123",8525.3392399,3.6088046505,3491,25216,135.82562577,9.2696629213,77.238528819,27,28.7,16.958454735,3.7888517853,19.095595127,35
"3124",8021.6557311,3.4087251019,4353,30550,91.463850342,8.7301587302,78.039398258,34,26.2,15.381535631,3.6801694467,14.721811915,36
"3125",5805.5300059,3.3774721764,1291,29299,75.642965204,6.6395663957,81.003407648,36,27.9,14.318553991,3.2196969697,15.919554156,38
"3126",11610.681982,3.9263915639,3028,26056,146.06618344,8.9961880559,75.217716107,31,26,19.399937196,5.2213093029,22.764705882,40
